"NCI_U133A_2L"	"NCI_U133A_8L"	"NCI_U133A_9L"
"718"	12.47	12.66	12.88
"719"	5.91	6	5.92
"720"	8.87	5.73	7.42
"721"	6.18	6.66	6.45
"722"	6.58	6.92	6.16
"723"	8.22	9.25	8.34
"724"	12.05	11.31	11.46
"725"	9.42	6.23	7.99
"726"	7.23	7.58	8.71
"727"	7.36	7.95	8.66
"728"	6.09	6.53	6.31
"729"	5.74	6.06	6.11
"730"	7.25	7.53	7.78
"731"	7.78	8.07	7.98
"732"	4.45	4.67	4.82
"733"	3.8	3.89	3.84
"734"	4.14	4.07	3.91
"735"	6.53	6.6	6.65
"736"	3.93	3.87	4.02
"737"	6.43	7.58	9.4
"738"	8.56	8.17	8.6
"739"	9.23	10.03	10.14
"740"	9.3	10.08	10.99
"741"	9.22	8.88	8.97
"742"	5.3	5.33	5.17
"743"	9.07	10.76	10.74
"744"	9.29	9.19	9.02
"745"	5.09	5.28	5.28
"746"	4.52	4.73	6.3
"747"	10.22	9.36	9.35
"748"	8.91	8.8	9.41
"749"	9.75	9.25	8.81
"750"	10.64	13.4	13.13
"751"	11.83	14	13.64
"752"	10.38	12.95	12.42
"753"	11.45	13.58	13.16
"754"	6.83	6.11	6.09
"755"	5.41	5.32	7.8
"756"	7.9	7.28	7.18
"757"	6.58	6.85	6.56
"758"	7.32	7.53	7.82
"759"	7.99	7.83	8.19
"760"	8.75	9.84	9.68
"761"	7.77	9.1	8.99
"762"	8.36	8.48	10.37
"763"	8.68	8.39	8.7
"764"	6.42	8.12	6.79
"765"	7.89	6.96	7.69
"766"	7.07	5.98	7.75
"767"	7.6	7.44	8.47
"768"	4.38	5.11	4.64
"769"	4.43	4.6	4.65
"770"	8.29	8.2	8.46
"771"	7.93	8.45	8.27
"772"	6.68	6.84	7.01
"773"	9.07	9.14	9.69
"774"	5.71	6.07	5.9
"775"	8.31	11.66	10.37
"776"	6.4	5.46	6.16
"777"	6.08	7.84	6.53
"778"	4.99	5.26	5.11
"779"	7.67	7.45	6.78
"780"	4.95	5.14	5.02
"781"	6.01	6.74	7.27
"782"	5.95	6.12	6.04
"783"	4.67	4.7	4.66
"784"	5.79	4.83	5.59
"785"	7.11	7.42	6.74
"786"	8.07	7.84	7.61
"787"	9.72	8.73	8.49
"788"	10.59	9.28	9.68
"789"	4.29	4.29	4.32
"790"	9.61	7.41	7.04
"791"	5.89	5.96	6.14
"792"	9.18	9.17	8.72
"793"	6.41	7.22	7.83
"794"	4.14	4.15	4.13
"795"	8.72	8.44	8.53
"796"	5.32	5.5	5.67
"797"	4.63	4.61	4.73
"798"	6.58	6.89	6.57
"799"	6.52	6.15	6.09
"800"	8.28	9.56	10.23
"801"	10.36	11.02	10.78
"802"	5.47	5.72	5.61
"803"	6.3	6.13	6.43
"804"	6.09	6.11	6.32
"805"	10.74	10.34	10.16
"806"	7.5	7.68	7.86
"807"	9.74	9.65	9.28
"808"	7.4	8.15	8
"809"	7.74	8.1	7.83
"810"	7.96	8.67	9.06
"811"	6.96	7.64	7.46
"812"	8.36	8.01	9.7
"813"	8.62	8.23	8.31
"814"	6.03	6.55	6.9
"815"	7.16	7.02	7.04
"816"	8.36	7.86	8.48
"817"	4.67	4.39	4.61
"818"	8.78	10.02	8.36
"819"	4.81	5.06	4.92
"820"	11.88	11.88	12.14
"821"	7.87	7.5	7.52
"822"	6.81	6.94	6.67
"823"	7.02	6.65	6.62
"824"	6.44	6.95	6.65
"825"	9.41	9.35	8.74
"826"	7.01	7.06	6.7
"827"	5.9	5.15	4.95
"828"	8.31	8.42	8.07
"829"	6.33	6.11	6.2
"830"	8.92	8.89	8.76
"831"	7.44	7.73	7.38
"832"	7.99	8.18	8.13
"833"	5.78	5.73	6.18
"834"	8.23	5.6	5.34
"835"	4.75	4.72	4.82
"836"	8.02	6.89	7.27
"837"	8.42	7.47	7.41
"838"	7.65	7.17	6.86
"839"	6.86	6.98	6.9
"840"	7.21	6	7.22
"841"	7.55	7.59	7.33
"842"	10.61	10.1	9.5
"843"	8.96	9.45	9.09
"844"	7.8	6.69	6.42
"845"	6.27	5.94	6.06
"846"	5.99	6.21	6.36
"847"	8.55	9.1	9.23
"848"	5.92	6.06	6.14
"849"	7.82	6.99	8.03
"850"	10.07	10.26	10.1
"851"	6.21	5.97	6.15
"852"	8.87	9.32	9.75
"853"	5.84	5.67	5.6
"854"	4.72	4.67	4.79
"855"	5.24	7.67	7.21
"856"	6.87	7.33	7.11
"857"	4.79	4.86	4.71
"858"	9.23	8.93	9.04
"859"	7.55	6.26	6.82
"860"	11.08	10.91	11.44
"861"	7.99	7.93	7.47
"862"	5.38	6.19	5.5
"863"	8.34	9.94	8.95
"864"	6.06	7.59	7.27
"865"	5.78	8.21	7.52
"866"	6.76	7.14	6.88
